"Plot Title: Manz office"
"#","Date Time, GMT+02:00","Event, mm (LGR S/N: 20112198, SEN S/N: 20112198, LBL: Rainfall)","Coupler Detached (LGR S/N: 20112198)","Coupler Attached (LGR S/N: 20112198)","Host Connected (LGR S/N: 20112198)","End Of File (LGR S/N: 20112198)"
99,18/12/01 11:38:34 PM,24.638,,,,
100,18/12/01 11:40:24 PM,24.892,,,,
101,18/12/01 11:42:33 PM,25.146,,,,
102,18/12/01 11:44:24 PM,25.400,,,,
103,18/12/01 11:45:41 PM,25.654,,,,
104,18/12/01 11:47:25 PM,25.908,,,,
105,18/12/01 11:50:21 PM,26.162,,,,
106,18/12/01 11:53:35 PM,26.416,,,,
107,18/12/01 11:58:10 PM,26.670,,,,
108,18/12/02 12:02:08 AM,26.924,,,,
109,18/12/02 12:06:19 AM,27.178,,,,
110,18/12/02 12:11:37 AM,27.432,,,,
111,18/12/02 02:40:56 AM,27.686,,,,
112,18/12/02 02:58:26 AM,27.940,,,,
113,18/12/03 11:45:27 PM,28.194,,,,
114,18/12/03 11:48:06 PM,28.448,,,,
115,18/12/03 11:48:46 PM,28.702,,,,
116,18/12/03 11:49:44 PM,28.956,,,,
117,18/12/03 11:54:37 PM,29.210,,,,
118,18/12/03 11:55:53 PM,29.464,,,,
119,18/12/03 11:58:29 PM,29.718,,,,
120,18/12/04 02:02:09 AM,29.972,,,,
121,18/12/04 02:02:22 AM,30.226,,,,
122,18/12/04 02:02:44 AM,30.480,,,,
123,18/12/04 02:03:01 AM,30.734,,,,
124,18/12/04 02:03:16 AM,30.988,,,,
125,18/12/04 02:03:29 AM,31.242,,,,
126,18/12/04 02:03:41 AM,31.496,,,,
127,18/12/04 02:03:51 AM,31.750,,,,
128,18/12/04 02:03:59 AM,32.004,,,,
129,18/12/04 02:04:08 AM,32.258,,,,
130,18/12/04 02:04:13 AM,32.512,,,,
131,18/12/04 02:04:20 AM,32.766,,,,
132,18/12/04 02:04:28 AM,33.020,,,,
133,18/12/04 02:04:36 AM,33.274,,,,
134,18/12/04 02:04:42 AM,33.528,,,,
135,18/12/04 02:04:47 AM,33.782,,,,
136,18/12/04 02:04:51 AM,34.036,,,,
137,18/12/04 02:04:56 AM,34.290,,,,
138,18/12/04 02:05:01 AM,34.544,,,,
139,18/12/04 02:05:06 AM,34.798,,,,
140,18/12/04 02:05:11 AM,35.052,,,,
141,18/12/04 02:05:15 AM,35.306,,,,
142,18/12/04 02:05:18 AM,35.560,,,,
143,18/12/04 02:05:22 AM,35.814,,,,
144,18/12/04 02:05:26 AM,36.068,,,,
145,18/12/04 02:05:29 AM,36.322,,,,
146,18/12/04 02:05:32 AM,36.576,,,,
147,18/12/04 02:05:35 AM,36.830,,,,
148,18/12/04 02:05:39 AM,37.084,,,,
149,18/12/04 02:05:43 AM,37.338,,,,
150,18/12/04 02:05:46 AM,37.592,,,,
151,18/12/04 02:05:50 AM,37.846,,,,
152,18/12/04 02:05:53 AM,38.100,,,,
153,18/12/04 02:05:57 AM,38.354,,,,
154,18/12/04 02:06:02 AM,38.608,,,,
155,18/12/04 02:06:06 AM,38.862,,,,
156,18/12/04 02:06:13 AM,39.116,,,,
157,18/12/04 02:06:17 AM,39.370,,,,
158,18/12/04 02:06:23 AM,39.624,,,,
159,18/12/04 02:06:27 AM,39.878,,,,
160,18/12/04 02:06:33 AM,40.132,,,,
161,18/12/04 02:06:39 AM,40.386,,,,
162,18/12/04 02:06:46 AM,40.640,,,,
163,18/12/04 02:06:54 AM,40.894,,,,
164,18/12/04 02:07:00 AM,41.148,,,,
165,18/12/04 02:07:07 AM,41.402,,,,
166,18/12/04 02:07:12 AM,41.656,,,,
167,18/12/04 02:07:20 AM,41.910,,,,
168,18/12/04 02:07:25 AM,42.164,,,,
169,18/12/04 02:07:33 AM,42.418,,,,
170,18/12/04 02:07:39 AM,42.672,,,,
171,18/12/04 02:07:47 AM,42.926,,,,
172,18/12/04 02:07:55 AM,43.180,,,,
173,18/12/04 02:08:04 AM,43.434,,,,
174,18/12/04 02:08:16 AM,43.688,,,,
175,18/12/04 02:08:27 AM,43.942,,,,
176,18/12/04 02:08:35 AM,44.196,,,,
177,18/12/04 02:08:44 AM,44.450,,,,
178,18/12/04 02:08:52 AM,44.704,,,,
179,18/12/04 02:09:01 AM,44.958,,,,
180,18/12/04 02:09:11 AM,45.212,,,,
181,18/12/04 02:09:23 AM,45.466,,,,
182,18/12/04 02:09:34 AM,45.720,,,,
183,18/12/04 02:09:46 AM,45.974,,,,
184,18/12/04 02:09:57 AM,46.228,,,,
185,18/12/04 02:10:10 AM,46.482,,,,
186,18/12/04 02:10:23 AM,46.736,,,,
187,18/12/04 02:10:36 AM,46.990,,,,
188,18/12/04 02:10:49 AM,47.244,,,,
189,18/12/04 02:11:01 AM,47.498,,,,
190,18/12/04 02:11:12 AM,47.752,,,,
191,18/12/04 02:11:25 AM,48.006,,,,
192,18/12/04 02:11:38 AM,48.260,,,,
193,18/12/04 02:11:49 AM,48.514,,,,
194,18/12/04 02:12:01 AM,48.768,,,,
195,18/12/04 02:12:11 AM,49.022,,,,
196,18/12/04 02:12:23 AM,49.276,,,,
197,18/12/04 02:12:36 AM,49.530,,,,
198,18/12/04 02:12:53 AM,49.784,,,,
199,18/12/04 02:13:19 AM,50.038,,,,
200,18/12/04 02:13:37 AM,50.292,,,,
201,18/12/04 02:14:00 AM,50.546,,,,
202,18/12/04 02:14:14 AM,50.800,,,,
203,18/12/04 02:14:31 AM,51.054,,,,
204,18/12/04 02:14:49 AM,51.308,,,,
205,18/12/04 02:15:20 AM,51.562,,,,
206,18/12/04 02:16:25 AM,51.816,,,,
207,18/12/04 02:16:50 AM,52.070,,,,
208,18/12/04 02:17:48 AM,52.324,,,,
209,18/12/06 02:52:20 PM,,,Logged,,
210,18/12/06 02:53:28 PM,,,,Logged,
211,18/12/06 02:53:44 PM,,Logged,,,
212,18/12/06 02:53:46 PM,,,Logged,,
213,18/12/06 02:53:55 PM,,Logged,,,
214,18/12/06 02:54:01 PM,,,,Logged,
215,18/12/06 02:54:02 PM,,,Logged,,
216,18/12/06 02:54:13 PM,52.324,,,,Logged
